,id,StarName,Radius,Mass,DistanceData
0,0,SDSS J000013.54+255418.6 [de],4.7373743,0.045820224,0.99
1,1,2MASS J00040288-6410358,19.730496,0.018137172,1.63
3,3,2MASS J00242463-0158201,3.8741651,0.075412452,1.09
5,5,2MASS J00274197+0503417,24.252067999999998,0.029592228,1.44
7,7,2MASSW J0030300-145033,8.960933599999999,0.051547752,0.98
8,8,2MASS J00332386-1521309 [de],13.461953,0.027683052,1.43
9,9,2MASS J00345157+0523050,3.185653,0.040092696000000004,0.94
10,10,2MASS 0036+1821,2.9390218,0.040092696000000004,0.94
11,11,2MASSW J0045214+163445,5.857491,0.021955524,1.62
12,12,WISEP J004701.06+680352.1 [fr],4.110519999999999,0.011455056,1.3
13,13,2MASS J00501994-3322402 [de],3.4939419999999997,0.03818352,0.94
15,15,2MASS J00584253-0651239 [de],9.865248,0.027683052,1.43
17,17,2MASSI J0103320+193536,7.193409999999999,0.049638576000000004,0.98
18,18,SDSSp J010752.33+004156.1 [de],5.240913,0.049638576000000004,0.98
19,19,2MASSI J0117474-340325 [de],16.750369,0.01909176,1.62
20,20,2MASS J01415823-4633574 [de],13.35919,0.01909176,1.61
21,21,SDSS J015141.69+124429.6,7.193409999999999,0.044865636,0.97
25,25,SDSS J020742.48+000056.2 [de],11.406692999999999,0.044865636,0.97
26,26,2MASS J02103857-3015313,10.379062999999999,0.014318820000000001,1.53
27,27,2MASS J02340093-6442068,15.928265,0.01909176,1.62
28,28,2MASS J02411151-0326587 [de],15.619976,0.025773876,1.41
29,29,2MASS J02431371−2453298,3.5967049999999996,0.031501404000000004,0.99
30,30,LP 771-21,5.446439,0.074457864,1.08
32,32,2MASS J02535980+3206373,18.908392,0.06204822,1.9
33,33,WISE J0254+0223,2.466312,0.06204822,1.9
34,34,DEN 0255-4700,1.6647606,0.07636704,0.97
35,35,2MASS J03185403-3421292 [de],4.624334999999999,0.046774812,0.97
36,36,2MASS J03205965+1854233,4.829860999999999,0.084003744,1.15
37,37,2MASS J03231002-4631237,19.730496,0.021955524,1.66
38,38,SDSS J032553.17+042540.1,6.063016999999999,0.04295646,0.95
39,39,2MASS J03264225-2102057 [de],8.221039999999999,0.017182584,1.3
40,40,2MASS J03284265+2302051 [de],10.070774,0.051547752,0.98
41,41,2MASS J03341218-4953322,2.7746009999999997,0.069684924,1.04
42,42,LP 944-20,2.1477467,0.069684924,1.43
43,43,2MASP J0345432+254023,9.043144,0.070639512,1.05
44,44,Teide 1,39.04994,0.05250234,3.78
45,45,2MASS J03510004-0052452,4.932624,0.09736797600000001,1.27
